1,24
2,37
3,17
4,11
5,14
6,10
7,7
8,44
9,11
10,17
11,28
12,49
13,41
14,44
15,0
16,43
17,33
18,47
19,23
20,40
21,26
22,15
23,2
24,4
25,4
26,35
27,20
28,35
29,15
30,14
31,13
32,15
33,40
34,42
35,32
36,45
37,15
38,28
39,21
40,18
41,11
42,28
43,22
44,33
45,9
46,15
47,24
48,30
49,12
50,37
51,34
52,13
53,7
54,48
55,6
56,9
57,17
58,26
59,30
60,40
61,10
62,22
63,37
64,50
65,13
66,23
67,17
68,28
69,38
70,2
71,24
72,30
73,2
74,13
75,21
76,48
77,29
78,8
79,26
80,9
81,46
82,21
83,34
84,45
85,31
86,7
87,13
88,5
89,44
90,14
91,26
92,46
93,38
94,9
95,23
96,2
97,7
98,32
99,0
100,9
101,16
102,25
103,8
104,34
105,35
106,19
107,17
108,38
109,31
110,50
111,48
112,23
113,40
114,9
115,4
116,10
117,26
118,46
119,49
120,33
121,0
122,48
123,46
124,32
125,27
126,46
127,50
128,26
129,45
130,24
131,35
132,30
133,36
134,35
135,15
136,16
137,24
138,8
139,30
140,24
141,49
142,40
143,43
144,36
145,48
146,14
147,24
148,43
149,25
150,32
151,5
152,16
153,37
154,40
155,48
156,4
157,17
158,3
159,21
160,11
161,35
162,39
163,14
164,15
165,38
166,27
167,21
168,49
169,49
170,30
171,17
172,8
173,23
174,47
175,39
176,17
177,9
178,34
179,17
180,32
181,39
182,13
183,27
184,2
185,38
186,45
187,48
188,25
189,26
190,14
191,2
192,22
193,19
194,31
195,20
196,7
197,2
198,50
199,15
200,35
201,10
202,48
203,3
204,35
205,43
206,9
207,43
208,35
209,31
210,6
211,28
212,32
213,10
214,11
215,41
216,25
217,40
218,23
219,4
220,22
221,28
222,19
223,8
224,39
225,31
226,26
227,26
228,22
229,34
230,7
231,4
232,41
233,16
234,20
235,35
236,7
237,27
238,33
239,27
240,43
241,18
242,6
243,28
244,7
245,30
246,10
247,26
248,14
249,33
250,31
251,5
252,9
253,6
254,30
255,43
256,28
257,24
258,43
259,23
260,14
261,17
262,21
263,20
264,46
265,11
266,43
267,12
268,2
269,8
270,1
271,21
272,17
273,12
274,24
275,24
276,34
277,28
278,8
279,14
280,37
281,28
282,14
283,41
284,26
285,35
286,14
287,49
288,17
289,35
290,19
291,34
292,39
293,10
294,27
295,39
296,29
297,15
298,35
299,24
300,24
301,42
302,50
303,0
304,16
305,49
306,14
307,50
308,26
309,15
310,48
311,35
312,3
313,45
314,33
315,27
316,41
317,6
318,24
319,48
320,43
321,7
322,48
323,18
324,50
325,48
326,7
327,41
328,47
329,3
330,46
331,29
332,33
333,16
334,13
335,6
336,33
337,45
338,45
339,49
340,28
341,18
342,25
343,20
344,36
345,2
346,29
347,9
348,42
349,14
350,11
351,16
352,9
353,0
354,10
355,45
356,28
357,6
358,0
359,26
360,21
361,13
362,23
363,15
364,39
365,13
366,28
367,37
368,34
369,26
370,14
371,15
372,16
373,0
374,19
375,48
376,8
377,21
378,12
379,20
380,36
381,49
382,16
383,50
384,48
385,18
386,0
387,12
388,43
389,16
390,31
391,31
392,1
393,5
394,50
395,30
396,4
397,6
398,11
399,24
400,34
401,9
402,50
403,46
404,30
405,11
406,2
407,31
408,44
409,22
410,42
411,33
412,41
413,48
414,2
415,28
416,46
417,34
418,19
419,15
420,2
421,40
422,48
423,26
424,45
425,0
426,26
427,15
428,8
429,12
430,2
431,35
432,6
433,43
434,18
435,5
436,46
437,19
438,11
439,4
440,30
441,6
442,24
443,45
444,4
445,35
446,34
447,36
448,13
449,41
450,35
451,30
452,26
453,15
454,4
455,11
456,33
457,32
458,34
459,4
460,1
461,44
462,28
463,39
464,44
465,13
466,2
467,31
468,48
469,11
470,7
471,37
472,21
473,10
474,27
475,41
476,15
477,8
478,37
479,28
480,7
481,36
482,9
483,26
484,46
485,10
486,18
487,23
488,9
489,18
490,7
491,36
492,41
493,13
494,43
495,7
496,17
497,17
498,8
499,40
500,28
501,11
502,43
503,18
504,24
505,0
506,6
507,40
508,21
509,28
510,45
511,31
512,32
513,6
514,10
